,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
120090,France,"This is a rich opulent wine. Its red-berry fruits are just the starting point for a series of layers of fruit, tannins and intense perfumed ripeness. The wine is firm at this young stage with great potential to develop into a generous wine as it matures. It comes from vines at the northern end of the Beaune premier crus. Drink from 2024.",En Genêt Premier Cru,94,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2019 En Genêt Premier Cru  (Beaune),Pinot Noir,Domaine Arnoux Père et Fils, 2019 En Genêt Premier Cru  (Beaune),2019,Good
120328,France,"Plenty of wood aromas, but the palate combines the wood notes with smoky acidity, textured green plum and vanilla flavors with a refreshing acidity. There's a tang here: a wine that has bursts of great fruit to go with the wood.",Hauts-Marconnets Premier Cru,89,55.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2012 Hauts-Marconnets Premier Cru  (Savigny-lès-Beaune),Chardonnay,Chanson Père et Fils, 2012 Hauts-Marconnets Premier Cru  (Savigny-lès-Beaune),2012,Mid
120593,France,"A powerful wine, very structured with wood, coffee notes and dark tannins. It feels extracted, although the weight of fruit is certainly enough to handle that. It's for the long haul, a concentrated wine that needs at least 10 years.",Corton Clos du Roi,94,163.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine de la Pousse d'Or 2013 Corton Clos du Roi  (Corton),Pinot Noir,Domaine de la Pousse d'Or, 2013 Corton Clos du Roi  (Corton),2013,Good
120620,France,"With vines forming part of the 22-acre Jessiaume estate, this vineyard—one of the better known of the Beaune premiers crus—has produced a fine, rich wine in this vintage. Although there is plenty of young wood, the fruit is so rich and generous, with such fine potential. Give this opulent wine until 2022.",Les Cents Vignes Premier Cru,91,45.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jessiaume 2019 Les Cents Vignes Premier Cru  (Beaune),Pinot Noir,Domaine Jessiaume, 2019 Les Cents Vignes Premier Cru  (Beaune),2019,Good
120753,France,"Rich and smooth, this wine's structured tannins are fully integrated into its juicy fruit. It's a ripe bottling, and it shows a hint of wood aging in the form of a smoky character. The acidity is intense, which perks up the berry fruit. This promises to age.",Cent Vignes Premier Cru,92,54.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Jessiaume 2014 Cent Vignes Premier Cru  (Beaune),Pinot Noir,Domaine Jessiaume, 2014 Cent Vignes Premier Cru  (Beaune),2014,Good
120759,France,"The master of Savigny-lès-Beaune, Bize has produced a powerful, expressive wine from this small single vineyard. It has serious structure, although the sumptuous black-fruit flavors are already showing. Concentrated, rich and fruity, this will age for at least five years.",Aux Grands Liards,92,46.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Simon Bize 2014 Aux Grands Liards  (Savigny-lès-Beaune),Pinot Noir,Simon Bize, 2014 Aux Grands Liards  (Savigny-lès-Beaune),2014,Good
121426,France,"Packed with strawberry flavors, this ripe wine has plenty of the acidity typical of the vintage along with good fruitiness and structure. The wine is already developing well so drink from 2022.",Les Charmières Premier Cru,90,40.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Pierre Cornu Camus 2018 Les Charmières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Pierre Cornu Camus, 2018 Les Charmières Premier Cru  (Savigny-lès-Beaune),2018,Mid
121681,France,"This is a structured rich wine. It has great ripe fruit, generous with red berry and acidity in fine balance. It has a solid backbone of tannins although these are already well integrated into the opulent wine. Drink from 2021.",Montée Rouge Premier Cru,93,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Château de Santenay 2019 Montée Rouge Premier Cru  (Beaune),Pinot Noir,Château de Santenay, 2019 Montée Rouge Premier Cru  (Beaune),2019,Good
121695,France,"From one of the top Beaune premier crus, this wine is structured and dense with tannins and with wood aging. At the same time, it has the rich fruitiness of the year, broad red berries and plums. They provide the delicious potential of this fine wine. Drink from 2022.",Les Grèves Premier Cru,93,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Les Grèves Premier Cru  (Beaune),Pinot Noir,Jean-Luc and Paul Aegerter, 2019 Les Grèves Premier Cru  (Beaune),2019,Good
121934,France,"This is the Arnoux family's top wine coming from vines on the revered hill of Corton. It is a powerful wine, properly rich and structured from the vintage. Wood and spice come through although they will soon integrate with the dense black-plum fruits and mineral texture. Drink the wine from 2025.",Le Rognet,95,125.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2019 Le Rognet  (Corton),Pinot Noir,Domaine Arnoux Père et Fils, 2019 Le Rognet  (Corton),2019,Good
122317,France,"This wine is structured, dark and dense, with great swathes of smoky tannins plus plenty of red-fruit flavors. With its concentration, structure and richness, the wine will develop well and powerfully. Drink from 2021.",Les Teurons Premier Cru,91,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Albert Morot 2018 Les Teurons Premier Cru  (Beaune),Pinot Noir,Albert Morot, 2018 Les Teurons Premier Cru  (Beaune),2018,Good
122547,France,"A hugely rich, powerful Chardonnay, layering ripe fruit with a core of tannic structure, acidity, wood and huge depth of flavor. The wine is concentrated, with layers of fruit and textured acidity. Of course, it needs aging—7 years at least.",,96,130.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Louis Jadot 2013  Corton-Charlemagne,Chardonnay,Louis Jadot, 2013  Corton-Charlemagne,2013,Good
122769,France,"This is dark and wood laden, with sweet, rich fruit and a firm, dense structure. It has a full feel, and its opulence is likely to develop over the next 2–3 years.",Clos des Fèves Premier Cru,93,107.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2013 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2013 Clos des Fèves Premier Cru  (Beaune),2013,Good
123332,France,"Soft and ripe, a wine that is wide open. With its light and crisp character and attractive yellow fruits, this will develop quickly.",Beaune du Château Premier Cru,88,32.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2012 Beaune du Château Premier Cru  (Beaune),Chardonnay,Bouchard Père & Fils, 2012 Beaune du Château Premier Cru  (Beaune),2012,Mid
123776,France,"This is a round, rich and soft style of Chardonnay. It feels generous, and its yellow fruit flavor pushes through the acidity. It slowly opens to reveal complex tropical-fruit notes, and it will develop further, so give it another four years.",Le Clos Blanc Grèves Premier Cru,92,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Louis Jadot 2014 Le Clos Blanc Grèves Premier Cru  (Beaune),Chardonnay,Louis Jadot, 2014 Le Clos Blanc Grèves Premier Cru  (Beaune),2014,Good
124090,France,"A racy wine, juicy, fresh and fruity. The lively red fruits are totally dominant. There is structure, but it is the delicious fruit that speaks.",Beaune Grèves Vigne de l'Enfant Jésus Premier Cru,92,150.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2010 Beaune Grèves Vigne de l'Enfant Jésus Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2010 Beaune Grèves Vigne de l'Enfant Jésus Premier Cru  (Beaune),2010,Good
124091,France,"The first mouthful reveals a wine that is just plain opulent and rich. Only on the second taste do dense tannins push their way in, a structure that is concentrated, dry and tight. The fruit flavors are also forward, strawberry juice touched with cranberry juice dryness. This could age well, give it 4–5 years.",Clos du Roi Premier Cru,92,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2009 Clos du Roi Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2009 Clos du Roi Premier Cru  (Beaune),2009,Good
124147,France,"High-toast aromas from the wood aging are followed on the palate by more layers of toast and spice. Behind this wood and tannin there is plenty of the ripe, soft fruit that is more typical of this appellation. The wine will fill out and give some generous fruit. Drink from 2023.",Aux Guettes Premier Cru,90,35.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine A. Machard de Gramont 2018 Aux Guettes Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine A. Machard de Gramont, 2018 Aux Guettes Premier Cru  (Savigny-lès-Beaune),2018,Mid
124390,France,"The purity of fruit is the most striking aspect of this wine. While it is relatively light in texture, it revels in its fresh red-fruited character that gives an impressive intensity. With balanced touches of tannin and acidity, the wine should age well.",Lulune,90,65.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Emmanuel Giboulot 2013 Lulune  (Beaune),Pinot Noir,Domaine Emmanuel Giboulot, 2013 Lulune  (Beaune),2013,Mid
125183,France,"Barrel fermentation and aging have given this wine its ripe character. They have filled it out with spiciness, adding complexity to the yellow fruit and maturing acidity. It's not going to age much further but is very fine to drink now.",,93,200.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Nicolas Potel 2016  Corton-Charlemagne,Chardonnay,Nicolas Potel, 2016  Corton-Charlemagne,2016,Good
126241,France,"The Vigne de l'Enfant Jésus is a 10-acre parcel in the heart of the Grèves vineyard that once belonged to Carmelite nuns. This vintage, while marked by acidity and soft fruit, does have a firm edge of dark tannins, filled out with plum and red cherry flavors.",Vigne de l'Enfant Jésus Grèves Premier Cru,94,115.0,Burgundy,Beaune,,Roger Voss,@vossroger,Bouchard Père & Fils 2012 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),Pinot Noir,Bouchard Père & Fils, 2012 Vigne de l'Enfant Jésus Grèves Premier Cru  (Beaune),2012,Good
126452,France,"This is full and fruity with great swathes of smoky tannins. Structured and concentrated, it promises a good future. Strawberry and red-plum flavors are there, along with the darker tannic element. Drink from 2023.",Les Peuilletes Premier Cru,93,55.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Albert Bichot 2018 Les Peuilletes Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Albert Bichot, 2018 Les Peuilletes Premier Cru  (Savigny-lès-Beaune),2018,Good
126457,France,"This wine comes from a one-acre parcel on the Corton hill. It is dense and dark both in color and in black-fruit flavors. Concentrated from the 50-year-old vines, it is firm with tannins and solid with rich fruitiness. The wine needs time; drink from 2022.",Le Rognet,93,127.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2018 Le Rognet  (Corton),Pinot Noir,Domaine Arnoux Père et Fils, 2018 Le Rognet  (Corton),2018,Good
126596,France,"The texture and structure of this wine may be light but the fruitiness is so appealing. Soft and ripe with red-berry fruit flavors and refreshing acidity, it will develop quickly and be ready to drink from 2021.",Les Serpentières Premier Cru,88,49.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maurice Ecard 2017 Les Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maurice Ecard, 2017 Les Serpentières Premier Cru  (Savigny-lès-Beaune),2017,Mid
126993,France,This wine has smoky wood and rich fruit already well in balance. It offers ripe acidity from its strawberry and red-currant fruits along with a rich texture. The wine is already delicious although it will develop much further. Drink from 2023.,Les Vignes Franches Premier Cru,93,50.0,Burgundy,Beaune,,Roger Voss,@vossroger,Yves Giradin 2018 Les Vignes Franches Premier Cru  (Beaune),Pinot Noir,Yves Giradin, 2018 Les Vignes Franches Premier Cru  (Beaune),2018,Good
127624,France,"While it is not a premier cru, this wine conveys many of the precise red-fruit flavors of the Les Marconnets vineyard just below on the slope. It is finely perfumed, with the softness typical of the northern Beaune vineyards. Vivid strawberry and red-cherry fruits are already delicious and ready to drink.",Clos du Dessus des Marconnets,90,75.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Pierre Labet 2017 Clos du Dessus des Marconnets  (Beaune),Pinot Noir,Domaine Pierre Labet, 2017 Clos du Dessus des Marconnets  (Beaune),2017,Mid
129378,France,"Bitter black cherries are the hallmark of this rather hard-edged wine. It shows dark tannins and fruit that misses full richness. Maybe it is restrained power, maybe it will age, but the balance is not there now.",Les Peuillets Premier Cru,85,36.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Bouchard Aîné & Fils 2009 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Bouchard Aîné & Fils, 2009 Les Peuillets Premier Cru  (Savigny-lès-Beaune),2009,Bad
129645,France,"A generous wine, this is packed with red fruits as well as firmly structured. It conveys the fresh acidity of the year, with fine smoky tannins. It will be an impressive wine. Drink from 2024.",Clos de l'Ecu Premier Cru Monopole,93,76.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Faiveley 2018 Clos de l'Ecu Premier Cru Monopole  (Beaune),Pinot Noir,Domaine Faiveley, 2018 Clos de l'Ecu Premier Cru Monopole  (Beaune),2018,Good
129647,France,"A perfumed wine with red fruits, this offers dry tannins and a dense texture. With all these elements in place, the wine will develop slowly and well. Drink from 2021.",Les Grèves Premier Cru,93,100.0,Burgundy,Beaune,,Roger Voss,@vossroger,Tollot Beaut et Fils 2018 Les Grèves Premier Cru  (Beaune),Pinot Noir,Tollot Beaut et Fils, 2018 Les Grèves Premier Cru  (Beaune),2018,Good
129651,France,"This will be a delicious, ripe and full wine. Already the red fruits and acidity are filling out the generous space left by the spicy wood. It has dark, smoky tannins and a rich character. Drink from 2023.",Les Vergelesses Premier Cru,93,49.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Jaffelin 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Jaffelin, 2018 Les Vergelesses Premier Cru  (Savigny-lès-Beaune),2018,Good
129652,France,"Classically powerful and rich, this is a concentrated wine. With spice from the wood aging prominent, it is still young. That spice is balanced by the ripe yellow and baked-apple fruits. The aftertaste has delicious flavors of honey and lemon. Drink this wine from 2024.",,93,235.0,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2018  Corton-Charlemagne,Chardonnay,Jean-Luc and Paul Aegerter, 2018  Corton-Charlemagne,2018,Good
129766,France,"This is wood laden, with sweet fruit that compensates for the toastiness. The oak element should integrate well in the next 2–3 years, making for a wine that's soft and sweetly fruity, with smoky acidity.",Hauts Marconnets Premier Cru,89,39.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2014 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),Chardonnay,Chanson Père et Fils, 2014 Hauts Marconnets Premier Cru  (Savigny-lès-Beaune),2014,Mid
